ID,Iden,Region,Population,Treatment,Block,mean,median,sd,se,max,min
CE1,CE1A,South,CE,Control,A,,,,,,
CE1,CE1B,South,CE,Heat,B,,,,,,
CE10,CE10A,South,CE,Heat,A,,,,,,
CE10,CE10B,South,CE,Control,B,,,,,,
CE11,CE11A,South,CE,Heat,A,,,,,,
CE11,CE11B,South,CE,Control,B,,,,,,
CE2,CE2A,South,CE,Control,A,,,,,,
CE2,CE2B,South,CE,Heat,B,,,,,,
CE3,CE3A,South,CE,Heat,A,,,,,,
CE3,CE3B,South,CE,Control,B,,,,,,
CE4,CE4A,South,CE,Heat,A,,,,,,
CE4,CE4B,South,CE,Control,B,,,,,,
CE5,CE5A,South,CE,Control,A,,,,,,
CE5,CE5B,South,CE,Heat,B,,,,,,
CE6,CE6A,South,CE,Control,A,,,,,,
CE6,CE6B,South,CE,Heat,B,,,,,,
CE7a,CE7aA,South,CE,Control,A,,,,,,
CE7a,CE7aB,South,CE,Heat,B,,,,,,
CE7b,CE7bA,South,CE,Control,A,,,,,,
CE7b,CE7bB,South,CE,Heat,B,,,,,,
CE8,CE8A,South,CE,Control,A,,,,,,
CE8,CE8B,South,CE,Heat,B,,,,,,
CE9,CE9A,South,CE,Control,A,,,,,,
CE9,CE9B,South,CE,Heat,B,,,,,,
FR1,FR1A,North,FR,Control,A,2.142434116,2.145644968,0.111907877,0.010435463,2.465842276,1.750520641
FR1,FR1B,North,FR,Heat,B,2.131573476,2.163853921,0.213441745,0.018169368,2.520212891,1.234010929
FR10,FR10A,North,FR,Heat,A,1.825307404,1.853840636,0.176660934,0.01592898,2.293770484,1.334694707
FR10,FR10B,North,FR,Control,B,,,,,,
FR11,FR11A,North,FR,Heat,A,,,,,,
FR11,FR11B,North,FR,Control,B,2.092396462,2.128076608,0.209730263,0.018834334,2.411075414,1.412559154
FR12,FR12A,North,FR,Control,A,2.301777199,2.300747849,0.127109177,0.011652079,2.519270004,1.895391088
FR12,FR12B,North,FR,Heat,B,,,,,,
FR2,FR2A,North,FR,Heat,A,1.921819997,1.926875667,0.317574637,0.025843857,2.673153758,0.976900208
FR2,FR2B,North,FR,Control,B,,,,,,
FR6,FR6A,North,FR,Control,A,,,,,,
FR6,FR6B,North,FR,Heat,B,,,,,,
FR8,FR8A,North,FR,Heat,A,,,,,,
FR8,FR8B,North,FR,Control,B,,,,,,
OP1,OP1A,South,OP,Control,A,2.096914551,2.132566938,0.193190406,0.017490638,2.362748167,1.168322619
OP1,OP1B,South,OP,Heat,B,,,,,,
OP2,OP2A,South,OP,Control,A,2.162855187,2.218630121,0.215577906,0.018553992,2.587385519,1.486580248
OP2,OP2B,South,OP,Heat,B,,,,,,
OP3,OP3A,South,OP,Heat,A,,,,,,
OP3,OP3B,South,OP,Control,B,,,,,,
OP4,OP4A,South,OP,Heat,A,2.026893563,2.095583921,0.327346014,0.031211218,2.789080967,1.24150149
OP4,OP4B,South,OP,Control,B,2.25656689,2.257743977,0.178417102,0.017931593,2.813406985,1.636211177
OP5,OP5A,South,OP,Control,A,2.166401114,2.280421038,0.28891851,0.028607195,2.588937216,1.39007241
OP5,OP5B,South,OP,Heat,B,1.783760841,1.792031615,0.195380215,0.019158606,2.253244955,0.976105504
OP6,OP6A,South,OP,Heat,A,,,,,,
OP6,OP6B,South,OP,Control,B,2.124296665,2.202429964,0.241013527,0.020666739,2.583522035,1.415565731
OP7,OP7A,South,OP,Control,A,2.153769992,2.200597939,0.204642756,0.016229226,2.491419778,1.386649912
OP7,OP7B,South,OP,Heat,B,,,,,,
OP8,OP8A,South,OP,Heat,A,,,,,,
OP8,OP8B,South,OP,Control,B,2.240772654,2.28779757,0.22776166,0.019899629,2.555833778,1.52029897
OP9,OP9A,South,OP,Control,A,2.198246419,2.243242186,0.216595785,0.017744218,2.623553709,1.487917963
OP9,OP9B,South,OP,Heat,B,,,,,,
PI1,PI1A,North,PI,Control,A,2.076154061,2.183097071,0.288881395,0.024328202,2.51959261,1.339730647
PI1,PI1B,North,PI,Heat,B,2.105849828,2.160586459,0.272846354,0.025224654,2.615127839,1.44775122
PI10,PI10A,North,PI,Control,A,,,,,,
PI10,PI10B,North,PI,Heat,B,1.80072137,1.785615886,0.196614518,0.019373004,2.367419379,1.18936892
PI11,PI11A,North,PI,Control,A,2.061123384,2.068379311,0.328755386,0.033041159,2.665893367,1.471651459
PI11,PI11B,North,PI,Heat,B,,,,,,
PI12,PI12A,North,PI,Heat,A,1.962542932,1.938444002,0.231269455,0.018636224,2.609383665,1.413399871
PI12,PI12B,North,PI,Control,B,2.066549124,2.081979844,0.244300119,0.020573781,2.499228703,1.501564315
PI13,PI13A,North,PI,Heat,A,,,,,,
PI13,PI13B,North,PI,Control,B,2.135180928,2.208779651,0.265824199,0.025819129,2.711655136,1.400602224
PI14,PI14A,North,PI,Heat,A,1.734900354,1.741728123,0.167487542,0.013909083,2.116031757,1.335997501
PI14,PI14B,North,PI,Control,B,2.113549238,2.217634954,0.27176134,0.025232407,2.558132864,1.533518964
PI15,PI15A,North,PI,Heat,A,1.834921721,1.838459277,0.168711773,0.013729569,2.460969266,1.188484065
PI15,PI15B,North,PI,Control,B,,,,,,
PI18,PI18A,North,PI,Control,A,1.967585901,1.987619863,0.253452184,0.020694284,2.46683093,1.362268153
PI18,PI18B,North,PI,Heat,B,1.936983286,1.934048105,0.218828616,0.019119145,2.493551931,1.340243892
PI19,PI19A,North,PI,Heat,A,2.060187803,2.062292638,0.263328763,0.025576751,2.553141494,1.502303205
PI19,PI19B,North,PI,Control,B,2.084463708,2.082998857,0.233253471,0.020225641,2.491545249,1.436609671
PI2,PI2A,North,PI,Control,A,2.212410812,2.230020302,0.144255414,0.012750498,2.500062521,1.780234319
PI2,PI2B,North,PI,Heat,B,1.922701463,1.90614708,0.243761244,0.020750335,2.521601766,1.407593145
PI21,PI21A,North,PI,Heat,A,1.881318061,1.88513761,0.207388588,0.020738859,2.365308353,1.320695075
PI21,PI21B,North,PI,Control,B,2.103842125,2.155924895,0.20721885,0.018174295,2.536114382,1.637612897
PI25,PI25A,North,PI,Heat,A,2.119883781,2.16454726,0.232821347,0.021524341,2.527817527,1.645166344
PI25,PI25B,North,PI,Control,B,2.085338375,2.176184878,0.26254049,0.026386312,2.601464716,1.515273447
PI27,PI27A,North,PI,Control,A,1.957671678,1.946506612,0.264475427,0.023846946,2.451168676,1.372920143
PI27,PI27B,North,PI,Heat,B,,,,,,
PI28,PI28A,North,PI,Control,A,2.258280117,2.261908069,0.12067695,0.011352333,2.548435419,1.695768696
PI28,PI28B,North,PI,Heat,B,1.516421134,1.53384345,0.252286675,0.022935152,2.04541299,0.506300029
PI3,PI3A,North,PI,Control,A,2.183411642,2.200228734,0.129825448,0.012106285,2.510867691,1.82846798
PI3,PI3B,North,PI,Heat,B,1.899883095,1.872741327,0.284969574,0.023345617,2.45445687,0.968157046
PI30,PI30A,North,PI,Control,A,2.2183454,2.226962231,0.136578928,0.01226515,2.535581164,1.817904705
PI30,PI30B,North,PI,Heat,B,1.794134034,1.81105015,0.200202148,0.019920858,2.306376081,1.040185128
PI4,PI4A,North,PI,Control,A,2.072924673,2.124636423,0.256796221,0.02042961,2.66490818,1.461847444
PI4,PI4B,North,PI,Heat,B,1.958122566,1.929601745,0.252035463,0.022912315,2.546668399,1.441302214
PI5,PI5A,North,PI,Heat,A,2.226195156,2.233521857,0.202960916,0.018926203,2.690475521,1.610406065
PI5,PI5B,North,PI,Control,B,2.023924493,2.035331644,0.200440204,0.019111224,2.519791117,1.61250118
PI9,PI9A,North,PI,Control,A,2.088086427,2.135935808,0.246390785,0.01846777,2.706138968,1.29492737
PI9,PI9B,North,PI,Heat,B,1.866313527,1.842603678,0.258689474,0.02304589,2.539641263,1.364286058
PL2,PL2A,South,PL,Heat,A,,,,,,
PL2,PL2B,South,PL,Control,B,,,,,,
PL4,PL4A,South,PL,Heat,A,,,,,,
PL4,PL4B,South,PL,Control,B,,,,,,
PL5,PL5A,South,PL,Heat,A,,,,,,
PL5,PL5B,South,PL,Control,B,,,,,,
RE3,RE3A,South,RE,Heat,A,,,,,,
RE3,RE3B,South,RE,Control,B,,,,,,
RE5,RE5A,South,RE,Control,A,,,,,,
RE5,RE5B,South,RE,Heat,B,,,,,,
