,Number,Population,Pop,Iden,Location,ID,Treatment_RametA,Treatment_RametB,RametA,RametB
1,1,Cemetary,CE,CE1,South,1,Control,Heat,24,34
11,11,Cemetary,CE,CE10,South,10,Heat,Control,36,47
12,12,Cemetary,CE,CE11,South,11,Heat,Control,8,17
2,2,Cemetary,CE,CE2,South,2,Control,Heat,52,10
3,3,Cemetary,CE,CE3,South,3,Heat,Control,47,14
4,4,Cemetary,CE,CE4,South,4,Heat,Control,26,5
5,5,Cemetary,CE,CE5,South,5,Control,Heat,20,6
6,6,Cemetary,CE,CE6,South,6,Control,Heat,14,41
7,7,Cemetary,CE,CE7a,South,7a,Control,Heat,18,26
8,8,Cemetary,CE,CE7b,South,7b,Control,Heat,13,25
9,9,Cemetary,CE,CE8,South,8,Control,Heat,30,36
10,10,Cemetary,CE,CE9,South,9,Control,Heat,5,32
46,20,Front,FR,FR1,North,1,Control,Heat,40,23
50,24,Front,FR,FR10,North,10,Heat,Control,7,38
51,25,Front,FR,FR11,North,11,Heat,Control,17,8
52,26,Front,FR,FR12,North,12,Control,Heat,15,7
47,21,Front,FR,FR2,North,2,Heat,Control,19,4
48,22,Front,FR,FR6,North,6,Control,Heat,4,15
49,23,Front,FR,FR8,North,8,Heat,Control,27,16
13,13,Oil Patch,OP,OP1,South,1,Control,Heat,44,43
14,14,Oil Patch,OP,OP2,South,2,Control,Heat,21,39
15,15,Oil Patch,OP,OP3,South,3,Heat,Control,48,48
16,16,Oil Patch,OP,OP4,South,4,Heat,Control,46,13
17,17,Oil Patch,OP,OP5,South,5,Control,Heat,45,51
18,18,Oil Patch,OP,OP6,South,6,Heat,Control,16,29
19,19,Oil Patch,OP,OP7,South,7,Control,Heat,50,2
20,20,Oil Patch,OP,OP8,South,8,Heat,Control,38,35
21,21,Oil Patch,OP,OP9,South,9,Control,Heat,43,33
27,1,Prairie Island,PI,PI1,North,1,Control,Heat,39,46
33,7,Prairie Island,PI,PI10,North,10,Control,Heat,42,27
34,8,Prairie Island,PI,PI11,North,11,Control,Heat,33,22
35,9,Prairie Island,PI,PI12,North,12,Heat,Control,37,1
36,10,Prairie Island,PI,PI13,North,13,Heat,Control,10,44
37,11,Prairie Island,PI,PI14,North,14,Heat,Control,22,21
38,12,Prairie Island,PI,PI15,North,15,Heat,Control,31,24
39,13,Prairie Island,PI,PI18,North,18,Control,Heat,25,40
40,14,Prairie Island,PI,PI19,North,19,Heat,Control,41,12
28,2,Prairie Island,PI,PI2,North,2,Control,Heat,51,28
41,15,Prairie Island,PI,PI21,North,21,Heat,Control,23,45
42,16,Prairie Island,PI,PI25,North,25,Heat,Control,29,50
43,17,Prairie Island,PI,PI27,North,27,Control,Heat,6,42
44,18,Prairie Island,PI,PI28,North,28,Control,Heat,1,49
29,3,Prairie Island,PI,PI3,North,3,Control,Heat,35,20
45,19,Prairie Island,PI,PI30,North,30,Control,Heat,12,19
30,4,Prairie Island,PI,PI4,North,4,Control,Heat,11,3
31,5,Prairie Island,PI,PI5,North,5,Heat,Control,49,11
32,6,Prairie Island,PI,PI9,North,9,Control,Heat,2,37
22,22,Parking Lot,PL,PL2,South,2,Heat,Control,9,31
23,23,Parking Lot,PL,PL4,South,4,Heat,Control,32,18
24,24,Parking Lot,PL,PL5,South,5,Heat,Control,28,30
25,25,Reserve,RE,RE3,South,3,Heat,Control,3,9
26,26,Reserve,RE,RE5,South,5,Control,Heat,34,52
